Server,Container,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
gl2,home-timeline-redis,0.0040341604564459056,0.06351504118274588,0.058370935224499126
gl2,nginx,95.44769679703373,9.769733711674732,7.779224656191693
gl2,jaeger-agent,0.5094170159991892,0.7137345556992384,0.5731643791001588
gl2,post-storage-service,0.0022496812094602,0.047430804436148874,0.03373393062127049
gl5,url-shorten-mongodb,7.176398730229612e-05,0.008471362777162605,0.006922062060809647
gl5,user-mongodb,16.727248177084938,4.089895863843594,3.256692194062321
gl5,user-timeline-redis,0.00011649473031263684,0.010793272456147711,0.008061686474610568
gl5,cassandra,0.003737878882607153,0.06113819495705735,0.04482140113048349
gl5,home-timeline-service,0.0005408454352491448,0.023256083833034846,0.01759554716998349
gl5,media-memcached,2.5129788130452502e-06,0.0015852377780778662,0.000858125705018653
gl5,media-mongodb,6.883710937117583e-05,0.008296813205754112,0.006102180517994609
gl5,social-graph-service,3.855524591271124,1.9635489785770877,1.2927638948010756
gl5,social-graph-mongodb,3.729341317400962,1.931150257592858,1.1811411663030005
gl6,user-service,2.4887315166482664,1.5775713982727586,1.2444549701771563
gl6,post-storage-mongodb,0.00011232504264763521,0.01059835094001115,0.009387739062256832
gl6,user-memcached,0.19417409968862442,0.44065190308067936,0.3746504832308559
gl6,social-graph-redis,0.06452683570378794,0.2540213292300234,0.21008930242198975
gl6,user-timeline-mongodb,0.00013387913110293173,0.011570614983782484,0.010246332854131346
gl2,,490.9413377943702,22.157196072481064,20.3846259124205
gl5,,126.10595689354886,11.229690863668013,9.594865975687577
gl6,,23.419092118288034,4.839327651470608,4.383613443048709
ctmc_refined_gl2,,159.23626659793203,12.618885315190562,9.75620111525259
ctmc_refined_gl5,,45.39660162318682,6.7377000247255605,4.4309958968235925
ctmc_refined_gl6,,3.5576007526728937,1.8861603199815475,1.3367358127061764
