Time (s),CPU Utilization (%),refined_cpu
0,0.0,1.9
15,0.0,1.9
30,0.0,1.9
45,0.0,1.9
60,0.0,1.9
75,0.0,4.665458897120645
90,5.0272652667913125,10.760357046215441
105,4.079256067516035,8.434614307788348
120,2.0913266926059904,7.7849361285444605
135,0.9443358290546272,6.325556443358846
150,2.4892613265024703,7.322285572058318
165,1.7052810040736013,8.043919744179316
180,0.711740397111883,6.699975852418608
195,0.5391684058416958,5.736815496903041
210,2.0432510308475127,6.750161303338272
225,0.884186608457048,6.961804107876583
240,1.09288037026956,6.263538358819981
255,1.797411878374172,6.864166837014355
270,0.7226121155130746,7.443115677601726
285,1.4517755249853928,7.838383995145915
300,1.1746847445119517,6.885677363454722
315,1.958092764375801,6.5266448999400986
330,0.964736123937304,6.99264709575671
345,1.824439732030364,7.434377252040081
360,1.3051380700511304,6.022949463558083
375,1.6579180739507169,8.201480352652107
390,0.4862489999377942,7.414518084190757
405,0.9280619598350036,0.9280619598350036
420,0.905368390463414,0.905368390463414
435,0.7795192134841603,0.7795192134841603
450,0.7135012506495196,0.7135012506495196
465,0.2761429045300381,0.2761429045300381
480,0.4825878850904989,0.4825878850904989
495,0.3187885857956333,0.3187885857956333
510,0.0374745339184485,0.0374745339184485
525,0.0234477204073995,0.0234477204073995
540,0.4626414888166871,0.4626414888166871
555,0.1247227990699456,0.1247227990699456
570,0.5297727641772814,0.5297727641772814
585,0.0,0.0
600,0.0,0.0
