Time (s),CPU Utilization (%),power_consumption
0,0.0374119113046454,0.019154898587978447
15,0.043110727177837,0.022072692315052544
30,0.0359400054282463,0.018401282779262104
45,0.04420134269829,0.02263108746152448
60,0.0533422373411298,0.027311225518658458
75,0.0356036471357141,0.018229067333485623
90,0.0403516176614387,0.020660028242656614
105,0.0395093415430202,0.020228782870026343
120,0.0420768378076745,0.021543340957529345
135,0.0452184215708141,0.02315183184425682
150,0.0409799000553827,0.02098170882835594
165,0.0466115960405173,0.02386513717274486
180,0.0429061857170235,0.021967967087116035
195,0.0430731800331518,0.022053468176973724
210,0.0341326449493296,0.017475914214056754
225,0.0444656871224802,0.022766431806709866
240,0.0436405904460643,0.02234398230838492
255,0.0340303672425996,0.017423548028210997
270,0.0389478751874652,0.019941312095982183
285,0.0301231936049798,0.015423075125749659
300,0.0354362977832083,0.018143384465002653
315,0.0480966564757628,0.024625488115590552
330,0.0352567300154833,0.018051445767927454
345,0.0497505086472802,0.025472260427407464
360,0.0356077112513765,0.018231148160704768
375,0.0402597728671517,0.02061300370798167
390,0.0381254885704581,0.019520250148074552
405,0.023999141954392,0.012287560680648705
420,0.0159683407489051,0.00817579046343941
435,0.0034575825292866,0.0017702822549947395
450,0.0032180564033072,0.0016476448784932863
465,0.0005806759948465,0.000297306109361408
480,0.0007493995581371,0.00038369257376619524
495,0.0,0.0
