Time (s),power_consumption
0,4.811216452019847
15,4.766420069874977
30,3.6111620000983593
45,4.51176751049515
60,3.8214436918859223
75,3.8440978090078195
90,51.2
105,51.2
120,51.2
135,51.2
150,51.2
165,51.2
180,51.2
195,51.2
210,51.2
225,51.2
240,51.2
255,51.2
270,51.2
285,51.2
300,51.2
315,51.2
330,51.2
345,51.2
360,51.2
375,39.754695032779345
390,38.289404201926345
405,20.162274097423055
420,6.427513021042268
435,5.568793662180417
450,3.737122097685078
465,3.449911901314408
480,2.734027893345203
495,2.7
