Time (s),CPU Utilization (%),refined_cpu
0,0.0,4.0
15,0.0,4.0
30,0.0,4.0
45,0.0,4.0
60,0.0,4.0
75,0.0,27.587938066137028
90,67.76363596805253,100.0
105,69.86753541700995,100.0
120,47.093071893876335,91.00668650646858
135,46.21150246101857,87.66434484526283
150,46.66379668945166,77.49547374128704
165,45.22064794084332,77.05050877460319
180,47.89179700351807,81.59588299957888
195,43.65065527845871,75.61868534767542
210,46.081523276370795,78.89198072811541
225,44.46440348786158,76.88744096020557
240,38.89104670611115,74.09518365095809
255,43.6540939430808,80.96646808193353
270,44.25126989659386,88.11374472436441
285,43.701973136773326,81.5192356029475
300,40.47466548891009,67.81659336673104
315,43.302001196271235,69.62603591053482
330,43.45056038508171,69.52989562088305
345,39.825719049084086,71.2870740054106
360,40.5892859067145,68.23181960803227
375,32.695853174907235,68.77869678531789
390,30.48637168440341,67.64667390384399
405,30.713967224277035,30.713967224277035
420,29.288551189723975,29.288551189723975
435,26.53807695583098,26.53807695583098
450,25.06009254324029,25.06009254324029
465,15.632449716388177,15.632449716388177
480,11.360182565231716,11.360182565231716
495,10.669806644813658,10.669806644813658
510,9.352117026397726,9.352117026397726
525,6.867875833175315,6.867875833175315
540,7.117091832716878,7.117091832716878
555,5.552219346890745,5.552219346890745
570,4.679444781274962,4.679444781274962
585,3.477500568562391,3.477500568562391
600,3.0565433645707856,3.0565433645707856
