Linux 5.15.0-122-generic (gl6) 	01/02/2025 	_x86_64_	(32 CPU)

12:33:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:33:57 PM     all      1.36      0.00      0.88      0.00      0.00     97.76
12:34:12 PM     all      1.14      0.00      0.84      0.00      0.00     98.03
12:34:27 PM     all      1.16      0.00      0.95      0.00      0.00     97.89
12:34:42 PM     all      1.11      0.00      0.88      0.00      0.00     98.00
12:34:57 PM     all      1.24      0.00      0.91      0.00      0.00     97.85
12:35:12 PM     all      1.24      0.00      0.88      0.00      0.00     97.88
12:35:27 PM     all      5.11      0.00      1.65      0.00      0.00     93.23
12:35:42 PM     all      5.09      0.00      1.68      0.00      0.00     93.22
12:35:57 PM     all      3.93      0.00      1.19      0.00      0.00     94.88
12:36:12 PM     all      3.93      0.00      1.05      0.00      0.00     95.02
12:36:27 PM     all      4.15      0.00      1.69      0.00      0.00     94.15
12:36:42 PM     all      4.63      0.00      2.08      0.00      0.00     93.29
12:36:57 PM     all      6.07      0.00      2.22      0.00      0.00     91.70
12:37:12 PM     all      3.18      0.00      1.79      0.00      0.00     95.03
12:37:27 PM     all      2.57      0.00      1.71      0.00      0.00     95.73
12:37:42 PM     all      2.81      0.00      1.43      0.00      0.00     95.76
12:37:57 PM     all      2.85      0.00      1.87      0.00      0.00     95.28
12:38:12 PM     all      3.47      0.00      2.54      0.00      0.00     93.99
12:38:27 PM     all      3.26      0.00      2.33      0.00      0.00     94.41
12:38:42 PM     all      3.66      0.00      2.31      0.00      0.00     94.04
12:38:57 PM     all      3.98      0.00      2.86      0.00      0.00     93.16
12:39:12 PM     all      3.30      0.00      2.23      0.00      0.00     94.47
12:39:27 PM     all      2.28      0.00      1.86      0.00      0.00     95.86
12:39:42 PM     all      2.14      0.00      1.89      0.00      0.00     95.97
12:39:57 PM     all      1.94      0.00      1.70      0.00      0.00     96.37
12:40:12 PM     all      1.48      0.00      1.02      0.00      0.00     97.49
12:40:27 PM     all      2.33      0.00      2.19      0.00      0.00     95.48
12:40:42 PM     all      2.90      0.00      2.48      0.00      0.00     94.62
12:40:57 PM     all      3.85      0.00      2.54      0.00      0.00     93.61
12:41:12 PM     all      3.86      0.00      2.51      0.00      0.00     93.63
12:41:27 PM     all      2.86      0.00      1.70      0.00      0.00     95.44
12:41:42 PM     all      2.15      0.00      1.11      0.00      0.00     96.74
12:41:57 PM     all      3.01      0.00      1.80      0.00      0.00     95.19
12:42:12 PM     all      1.46      0.00      0.75      0.00      0.00     97.78
12:42:27 PM     all      1.15      0.00      0.57      0.00      0.00     98.28
12:42:42 PM     all      1.08      0.00      0.52      0.00      0.00     98.40
12:42:57 PM     all      1.04      0.00      0.53      0.00      0.00     98.43
12:43:12 PM     all      1.10      0.00      0.48      0.00      0.00     98.41
Average:        all      2.73      0.00      1.57      0.00      0.00     95.70
