Linux 5.15.0-122-generic (GreenLab-STF) 	02-01-25 	_x86_64_	(8 CPU)

13:33:42        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:33:57        all      2.04      0.00      2.35      0.13      0.00     95.48
13:34:12        all      1.97      0.00      1.81      0.11      0.00     96.10
13:34:27        all      1.87      0.00      1.74      0.08      0.00     96.30
13:34:42        all      1.80      0.00      2.23      0.11      0.00     95.86
13:34:57        all      2.05      0.00      1.74      0.11      0.00     96.10
13:35:12        all      3.02      0.00      1.88      0.13      0.00     94.97
13:35:27        all     36.40      0.00     29.58      1.11      0.00     32.91
13:35:42        all     41.26      0.00     42.17      2.67      0.00     13.89
13:35:57        all     33.85      0.00     32.39      2.46      0.00     31.31
13:36:12        all     34.48      0.00     32.07      3.77      0.00     29.69
13:36:27        all     32.23      0.00     34.52      3.65      0.00     29.61
13:36:42        all     33.28      0.00     41.52      2.40      0.00     22.80
13:36:57        all     34.66      0.00     44.16      2.84      0.00     18.34
13:37:12        all     42.98      0.00     46.74      1.91      0.00      8.37
13:37:27        all     27.38      0.00     41.51      1.93      0.00     29.18
13:37:42        all     27.81      0.00     44.45      2.34      0.00     25.40
13:37:57        all     31.09      0.00     43.63      2.17      0.00     23.11
13:38:12        all     31.00      0.00     43.02      1.71      0.00     24.27
13:38:27        all     29.48      0.00     42.29      2.86      0.00     25.38
13:38:42        all     28.32      0.00     43.63      1.66      0.00     26.39
13:38:57        all     26.34      0.00     42.06      2.52      0.00     29.07
13:39:12        all     28.06      0.00     41.40      3.21      0.00     27.33
13:39:27        all     24.85      0.00     40.39      1.93      0.00     32.83
13:39:42        all     24.08      0.00     45.51      0.68      0.00     29.73
13:39:57        all     25.47      0.00     42.09      3.15      0.00     29.29
13:40:12        all     27.75      0.00     40.74      0.89      0.00     30.62
13:40:27        all     24.12      0.00     39.73      1.51      0.00     34.63
13:40:42        all     24.81      0.00     43.56      1.32      0.00     30.31
13:40:57        all     25.76      0.00     41.10      1.52      0.00     31.62
13:41:12        all     24.30      0.00     42.08      2.02      0.00     31.59
13:41:27        all     27.58      0.00     39.54      2.55      0.00     30.33
13:41:42        all     25.63      0.00     34.28      3.74      0.00     36.36
13:41:57        all     15.75      0.00     26.16      5.44      0.00     52.65
13:42:12        all      3.80      0.00     12.01      4.59      0.00     79.59
13:42:27        all      2.18      0.00      8.93      0.13      0.00     88.76
13:42:42        all      2.17      0.00     11.04      0.12      0.00     86.67
13:42:57        all      2.47      0.00      9.60      0.31      0.00     87.61
13:43:12        all      2.29      0.00     10.28      0.14      0.00     87.30
Average:        all     21.38      0.00     30.03      1.84      0.00     46.75
