Linux 5.15.0-125-generic (gl5) 	01/02/2025 	_x86_64_	(32 CPU)

12:33:42 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:33:57 PM     all      0.76      0.00      0.33      0.00      0.00     98.91
12:34:12 PM     all      1.16      0.00      0.38      0.00      0.00     98.46
12:34:27 PM     all      0.85      0.00      0.46      0.00      0.00     98.68
12:34:42 PM     all      0.86      0.00      0.35      0.00      0.00     98.79
12:34:57 PM     all      0.53      0.00      0.31      0.00      0.00     99.16
12:35:12 PM     all      1.12      0.00      0.38      0.00      0.00     98.50
12:35:27 PM     all      8.00      0.00      2.56      0.00      0.00     89.44
12:35:42 PM     all      7.04      0.00      3.38      0.00      0.00     89.58
12:35:57 PM     all      3.52      0.00      1.64      0.00      0.00     94.84
12:36:12 PM     all      2.32      0.00      0.72      0.00      0.00     96.96
12:36:27 PM     all      3.00      0.00      0.83      0.00      0.00     96.17
12:36:42 PM     all      3.55      0.00      0.81      0.00      0.00     95.64
12:36:57 PM     all      3.48      0.00      1.50      0.00      0.00     95.02
12:37:12 PM     all      3.48      0.00      1.77      0.00      0.00     94.75
12:37:27 PM     all      3.91      0.00      2.32      0.00      0.00     93.77
12:37:42 PM     all      4.18      0.00      2.74      0.00      0.00     93.08
12:37:57 PM     all      5.88      0.00      2.85      0.00      0.00     91.27
12:38:12 PM     all      5.63      0.00      3.70      0.00      0.00     90.67
12:38:27 PM     all      5.13      0.00      2.79      0.00      0.00     92.08
12:38:42 PM     all      2.60      0.00      1.22      0.00      0.00     96.18
12:38:57 PM     all      3.45      0.00      1.67      0.00      0.00     94.88
12:39:12 PM     all      4.77      0.00      1.82      0.00      0.00     93.40
12:39:27 PM     all      3.27      0.00      2.51      0.00      0.00     94.22
12:39:42 PM     all      3.40      0.00      2.44      0.00      0.00     94.16
12:39:57 PM     all      3.18      0.00      2.25      0.00      0.00     94.57
12:40:12 PM     all      2.70      0.00      1.66      0.00      0.00     95.64
12:40:27 PM     all      2.67      0.00      2.15      0.00      0.00     95.18
12:40:42 PM     all      2.30      0.00      1.76      0.00      0.00     95.94
12:40:57 PM     all      2.10      0.00      1.30      0.00      0.00     96.59
12:41:12 PM     all      3.65      0.00      2.15      0.00      0.00     94.20
12:41:27 PM     all      3.66      0.00      2.54      0.00      0.00     93.81
12:41:42 PM     all      3.88      0.00      2.70      0.00      0.00     93.43
12:41:57 PM     all      2.64      0.00      1.78      0.00      0.00     95.58
12:42:12 PM     all      1.22      0.00      0.90      0.00      0.00     97.88
12:42:27 PM     all      0.55      0.00      0.72      0.00      0.00     98.73
12:42:42 PM     all      0.82      0.00      0.66      0.00      0.00     98.52
12:42:57 PM     all      0.78      0.00      0.64      0.00      0.00     98.58
12:43:12 PM     all      0.66      0.00      0.57      0.00      0.00     98.78
Average:        all      2.96      0.00      1.61      0.00      0.00     95.43
