Linux 5.15.0-122-generic (gl6) 	01/02/2025 	_x86_64_	(32 CPU)

12:42:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:43:03 PM     all      1.04      0.00      0.51      0.00      0.00     98.45
12:43:18 PM     all      1.16      0.00      0.57      0.00      0.00     98.27
12:43:33 PM     all      1.09      0.00      0.51      0.00      0.00     98.40
12:43:48 PM     all      1.10      0.00      0.53      0.00      0.00     98.37
12:44:03 PM     all      1.21      0.00      0.56      0.00      0.00     98.23
12:44:18 PM     all      4.94      0.00      1.07      0.00      0.00     93.99
12:44:33 PM     all      6.81      0.00      2.33      0.00      0.00     90.86
12:44:48 PM     all      4.73      0.00      2.51      0.00      0.00     92.76
12:45:03 PM     all      4.75      0.00      2.84      0.00      0.00     92.41
12:45:18 PM     all      4.49      0.00      2.67      0.00      0.00     92.84
12:45:33 PM     all      3.16      0.00      1.22      0.00      0.00     95.62
12:45:48 PM     all      2.26      0.00      1.29      0.00      0.00     96.45
12:46:03 PM     all      3.40      0.00      2.03      0.00      0.00     94.57
12:46:18 PM     all      2.99      0.00      1.97      0.00      0.00     95.05
12:46:33 PM     all      2.12      0.00      0.86      0.00      0.00     97.01
12:46:48 PM     all      1.51      0.00      0.69      0.00      0.00     97.80
12:47:03 PM     all      2.47      0.00      1.07      0.00      0.00     96.46
12:47:18 PM     all      1.95      0.00      1.21      0.00      0.00     96.84
12:47:33 PM     all      2.05      0.00      0.95      0.00      0.00     97.00
12:47:48 PM     all      1.82      0.00      0.59      0.00      0.00     97.58
12:48:03 PM     all      2.64      0.00      1.15      0.00      0.00     96.20
12:48:18 PM     all      2.11      0.00      1.42      0.00      0.00     96.46
12:48:33 PM     all      3.04      0.00      2.31      0.00      0.00     94.64
12:48:48 PM     all      3.39      0.00      2.47      0.00      0.00     94.14
12:49:03 PM     all      4.00      0.00      2.89      0.00      0.00     93.11
12:49:18 PM     all      3.99      0.00      2.92      0.00      0.00     93.09
12:49:33 PM     all      2.43      0.00      1.79      0.00      0.00     95.79
12:49:48 PM     all      2.41      0.00      1.78      0.00      0.00     95.81
12:50:03 PM     all      2.53      0.00      1.72      0.00      0.00     95.75
12:50:18 PM     all      1.38      0.00      0.87      0.00      0.00     97.75
12:50:33 PM     all      1.09      0.00      0.76      0.00      0.00     98.15
12:50:48 PM     all      0.97      0.00      0.72      0.00      0.00     98.30
12:51:03 PM     all      1.04      0.00      0.76      0.00      0.00     98.20
12:51:18 PM     all      1.13      0.00      0.81      0.00      0.00     98.06
12:51:33 PM     all      1.21      0.00      0.74      0.00      0.00     98.05
12:51:48 PM     all      1.07      0.00      0.74      0.00      0.00     98.19
12:52:03 PM     all      1.16      0.00      0.73      0.00      0.00     98.11
12:52:18 PM     all      1.14      0.00      0.85      0.00      0.00     98.01
Average:        all      2.41      0.00      1.35      0.00      0.00     96.24
