Linux 5.15.0-125-generic (gl5) 	01/02/2025 	_x86_64_	(32 CPU)

12:42:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:43:03 PM     all      0.50      0.00      0.59      0.00      0.00     98.91
12:43:18 PM     all      0.72      0.00      0.63      0.00      0.00     98.65
12:43:33 PM     all      0.78      0.00      0.61      0.00      0.00     98.61
12:43:48 PM     all      0.59      0.00      0.60      0.00      0.00     98.81
12:44:03 PM     all      0.89      0.00      0.65      0.00      0.00     98.47
12:44:18 PM     all      4.38      0.00      2.34      0.00      0.00     93.29
12:44:33 PM     all      6.66      0.00      2.28      0.00      0.00     91.05
12:44:48 PM     all      4.77      0.00      2.01      0.00      0.00     93.22
12:45:03 PM     all      3.92      0.00      1.71      0.00      0.00     94.37
12:45:18 PM     all      4.57      0.00      2.21      0.00      0.00     93.22
12:45:33 PM     all      5.97      0.00      3.31      0.00      0.00     90.72
12:45:48 PM     all      5.44      0.00      3.49      0.00      0.00     91.07
12:46:03 PM     all      3.57      0.00      2.89      0.00      0.00     93.55
12:46:18 PM     all      4.32      0.00      3.08      0.00      0.00     92.60
12:46:33 PM     all      3.52      0.00      2.49      0.00      0.00     93.99
12:46:48 PM     all      4.50      0.00      2.38      0.00      0.00     93.12
12:47:03 PM     all      4.49      0.00      3.37      0.00      0.00     92.14
12:47:18 PM     all      4.30      0.00      3.46      0.00      0.00     92.23
12:47:33 PM     all      4.46      0.00      3.61      0.00      0.00     91.93
12:47:48 PM     all      5.00      0.00      3.50      0.00      0.00     91.50
12:48:03 PM     all      4.79      0.00      3.49      0.00      0.00     91.71
12:48:18 PM     all      4.08      0.00      3.47      0.00      0.00     92.45
12:48:33 PM     all      3.82      0.00      2.53      0.00      0.00     93.65
12:48:48 PM     all      3.04      0.00      2.88      0.00      0.00     94.08
12:49:03 PM     all      2.62      0.00      2.13      0.00      0.00     95.26
12:49:18 PM     all      2.04      0.00      1.91      0.00      0.00     96.05
12:49:33 PM     all      3.85      0.00      3.68      0.00      0.00     92.47
12:49:48 PM     all      4.66      0.00      3.72      0.00      0.00     91.62
12:50:03 PM     all      3.06      0.00      2.38      0.00      0.00     94.56
12:50:18 PM     all      0.78      0.00      1.20      0.00      0.00     98.03
12:50:33 PM     all      1.10      0.00      1.06      0.00      0.00     97.84
12:50:48 PM     all      0.85      0.00      0.98      0.00      0.00     98.17
12:51:03 PM     all      0.75      0.00      1.02      0.00      0.00     98.23
12:51:18 PM     all      0.63      0.00      1.07      0.00      0.00     98.30
12:51:33 PM     all      0.79      0.00      1.00      0.00      0.00     98.21
12:51:48 PM     all      0.89      0.00      0.91      0.00      0.00     98.20
12:52:03 PM     all      0.81      0.00      0.96      0.00      0.00     98.23
12:52:18 PM     all      0.86      0.00      1.08      0.00      0.00     98.05
Average:        all      2.96      0.00      2.12      0.00      0.00     94.92
