Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,0.0146567352270201,0.016562110806532714
105,0.0178090547965168,0.020124231920063986
120,0.018072814909584,0.020422280847829922
135,0.0265395131312215,0.029989649838280293
150,0.0125173002488996,0.014144549281256549
165,0.0227816033036081,0.025743211733077156
180,0.0211921154277415,0.023947090433347893
195,0.0172894199103949,0.019537044498746235
210,0.0212590757646888,0.024022755614098345
225,0.0122699517124056,0.013865045435018326
240,0.0263952076028223,0.0298265845911892
255,0.0245058642161885,0.027691626564293005
270,0.0263532466711497,0.02977916873839916
285,0.0279262989937373,0.03155671786292315
300,0.0212767677397591,0.024042747545927782
315,0.0230445595360021,0.026040352275682372
330,0.0195027456968553,0.022038102637446492
345,0.0231042389181154,0.0261077899774704
360,0.0142530988925247,0.016106001748552912
375,0.0105803867440278,0.011955837020751415
390,0.0178228457343177,0.020139815679779002
405,0.010673252415778,0.01206077522982914
420,0.0177204058470457,0.02002405860716164
435,0.0072842155199843,0.00823116353758226
450,0.0053110574040316,0.006001494866555708
465,0.0123465294515449,0.013951578280245739
480,0.0070316624218227,0.007945778536659651
495,0.0,0.0
