Time (s),power_consumption
0,27.4568
15,27.4568
30,25.996298900009783
45,27.240649778538227
60,27.117080697351433
75,26.668977741753423
90,111.21202211171337
105,113.0
120,112.09658833566235
135,112.6734506532234
150,110.71813450377684
165,112.49534913126315
180,112.79586871667084
195,112.3854754195306
210,112.9755262472761
225,110.92530961907256
240,109.94131904003272
255,110.18182513786282
270,109.38109472375513
285,110.80534913838295
300,111.81448405932127
315,113.0
330,113.0
345,109.76188555187848
360,109.44345423368644
375,107.0155876969608
390,106.73213887706359
405,105.60462301327503
420,104.89767288991098
435,29.70052754920607
450,28.29753564716942
465,28.221897824214587
480,28.120189787536585
495,27.053635509142318
