server,container,MSE,RMSE,MAE,Energy_Consumption_Actual (Joules),Energy_Consumption_Estimated (Joules),Error_Percentage (%)
gl2,home-timeline-redis,0.0014521371991335207,0.038106917995733014,0.03180703258489174,32.483298537054175,33.332329497142204,2.613746135170132
gl2,nginx,42.97585570580849,6.555597280630384,3.5623959558688187,10916.53806823449,10436.67542355107,4.39574013010359
gl2,post-storage-memcached,0.006237260517430564,0.07897632884244851,0.05403419854652221,161.69967836494942,157.554773687207,2.563335140585471
gl2,url-shorten-mongodb,7.621465552483535e-05,0.00873010054494422,0.006175622016633902,8.127589640759668,8.659028868211768,6.538706442398929
gl2,user-mongodb,12.826288142383644,3.5813807592021885,2.15049507709209,6790.2259510454005,6489.325750120216,4.431372432884341
gl2,user-service,0.09656661622669702,0.3107516954526508,0.1555825873645909,309.08515952678414,310.9032873504599,0.5882287672625058
gl2,user-timeline-redis,0.006482953503241859,0.08051679019460388,0.05331751353082579,105.37700516561023,100.19839063210338,4.914368675944195
gl2,user-timeline-service,0.12328601366122297,0.35112108119738833,0.18112917491565697,580.6110507806897,566.8932587513169,2.3626474230774264
gl5,cassandra,9.142195829220093,3.0236064276324215,2.421875327498306,3860.3873196306185,3603.9862484396817,6.641848342188384
gl5,compose-post-service,0.005728011355838015,0.07568362673549686,0.05135853807234334,162.00430037450116,157.81331519803345,2.5869592145267215
gl5,home-timeline-service,0.0022281038452538165,0.0472027948881612,0.031953469254409235,91.88498021545622,95.49155881915489,3.9251013552397684
gl5,jaeger-agent,0.0026148502272445003,0.051135606256741496,0.02903009948729053,68.01918282763262,62.61946610503021,7.9385204263418245
gl5,media-memcached,1.1778533942803854e-06,0.0010852895439837174,0.0005691595220036265,0.17595755496381674,0.20457311106728698,16.26276070348593
gl5,media-mongodb,200.71073427779976,14.167241590295543,8.764499712337438,34556.46728046328,33163.414644273544,4.0312356725691885
gl5,post-storage-mongodb,0.0011844807140727659,0.034416285593781994,0.027608734264988388,58.48321333888397,57.35812802680956,1.9237747856894367
gl5,post-storage-service,0.16030605052836744,0.4003823803920041,0.265329730686168,594.3748781658965,580.9948723113308,2.2511055473699098
gl5,social-graph-service,0.0014822591716132567,0.03850011911167622,0.02990197772695405,54.319415994655905,54.598024806740234,0.512908334860852
gl5,url-shorten-service,4.641416821279279e-05,0.0068127944496214465,0.004879726207104829,8.231961709192827,8.12786346163049,1.2645618534168876
gl6,jaeger-collector,0.8430723692302512,0.918189723984238,0.5664495837214815,1439.1426693450567,1349.9932524118624,6.19461981304227
gl6,jaeger-query,4.866264459348343e-07,0.0006975861566393318,0.0005841313616840765,0.31769907218372023,0.3425875820981265,7.833988857233318
gl6,media-service,3.8830805213724405e-05,0.006231436849854486,0.004096599413300747,5.335901470856838,4.822019766461568,9.630644553726189
gl6,social-graph-mongodb,0.00029855668985506023,0.017278793067082555,0.013731451271838618,17.411884030198504,17.786111640624966,2.149265465916362
gl6,social-graph-redis,5.455852778406544e-05,0.007386374468172152,0.0060290361994532965,7.513164299948774,7.304135529273547,2.782166905050272
gl6,text-service,0.000993935080302435,0.03152673596017252,0.021082315626129153,50.64517109554592,48.71949183683429,3.8022958893330494
gl6,unique-id-service,3.402625632569842e-05,0.0058332029216973435,0.004092166658256971,5.707626544242501,5.789671421994342,1.4374605121038018
gl6,user-mention-service,0.0004114464433155711,0.020284142656655988,0.01519528595324156,29.243188509872724,28.59786583378576,2.2067452592219783
gl6,user-timeline-mongodb,0.0010835905649250483,0.03291793682667625,0.025266235008855137,67.29960521580121,68.00749139272219,1.0518429857814018
GreenLab-STF,,97.94504056768756,9.896718676798264,4.298604640012087,17032.5,16671.37886056599,2.120188694754204
gl5,,540.3984506987106,23.246471790332198,9.478204126213624,41294.62500000001,41447.61567489683,0.3704856864466514
gl6,,40.363991404526956,6.353266199721759,4.594467588963153,18293.475,17794.309049324474,2.7286557129004967
