Time (s),power_consumption
0,35.82083812603204
15,35.82083812603204
30,35.82083812603204
45,35.82083812603204
60,35.82083812603204
75,34.05858193682113
90,36.24484990939753
105,37.58756932923796
120,42.63971447237715
135,43.625981082895684
150,43.29305080548975
165,44.58023336830662
180,41.70221373003622
195,42.40143207615476
210,35.997188499920185
225,43.526575081004125
240,42.05547002853788
255,44.41354433104951
270,45.01504122306662
285,43.892374052940426
300,41.064210681691655
315,39.71437838997435
330,44.78581137747473
345,44.91827546276939
360,47.67645663817575
375,40.79340942366389
390,35.41678879072051
405,34.403544774867974
420,33.78292025354954
435,33.14315158471046
450,33.131639652481226
465,33.19245821803108
480,33.77972761694168
495,33.22162687913298
510,33.48548456600488
525,33.17688775996838
540,33.349372320192
555,33.04016469753714
570,33.10443807474589
585,33.15018907739001
600,33.0
