server,container,MSE,RMSE,MAE,Energy_Consumption_Actual (Joules),Energy_Consumption_Estimated (Joules),Error_Percentage (%)
gl2,account-service,1.3744152638231324,1.1723545810987102,0.6247463629823746,543.608873927593,526.8330495354862,3.0860100334457092
gl2,billing-service,0.0241472961103883,0.15539400281345578,0.08769351464546556,55.59811273050217,54.414397790364376,2.1290559733125414
gl2,catalog-service,3.715677338234046,1.9276092286130107,1.553476339533254,2033.7947030597586,1957.8864511296015,3.7323458368711626
gl2,payment-service,0.35557269358465776,0.5962991645010562,0.29211975220299413,110.89668862035923,106.0103146754497,4.406239722483873
gl2,order-service,0.023034210019105005,0.15177025406549535,0.10527467550105114,75.68482054014541,74.39152800000001,1.70878721904269
gl2,gateway-server_replica_1,3.0750147772812317,1.7535720051601051,1.1246901060182632,1652.3937496295255,1643.1708716093342,0.55815256032402
gl2,gateway-server_replica_2,2.340445071473961,1.5298513233232702,1.0702743689052499,1625.385085017669,1588.3822313676576,2.27655919763834
gl2,gateway-server_replica_3,2.5801965332816765,1.6062990173942324,1.0828546797280256,1598.2284693318438,1631.804175066542,2.100807636641267
gl2,mysqld,0.690623661972824,0.8310377018961438,0.5153840371104806,971.3150289290181,881.1548802767313,9.282276703954464
gl5,account-service,0.3545237739730403,0.5954189902690712,0.3039719484593288,169.14895308495642,224.68529478684593,32.83280250277159
gl5,billing-service,0.0037926265383259124,0.061584304317950304,0.04094841750673044,29.088987258705792,22.243566386458166,23.532688887953356
gl5,catalog-service,0.34625818782218887,0.5884370721004829,0.4334401290698025,414.92426080337066,426.4860938566707,2.786492414522641
gl5,payment-service,0.008286884987153957,0.09103232935146698,0.054965300177851194,27.78148434806237,29.062429104965435,4.610785877581824
gl5,order-service,0.006274334580317106,0.07921069738562529,0.05776540450432419,48.45088883891463,44.12595972968921,8.926418509275603
gl6,account-service,0.07387553797084666,0.27180054814302096,0.1824959428669696,98.58393893679457,85.04759742593869,13.730777707649189
gl6,billing-service,0.005008251266519817,0.07076899933247478,0.04989438320168753,29.02504601382052,32.875981331582956,13.267628640205356
gl6,catalog-service,0.14425983022008937,0.3798155212996033,0.2649915584355864,326.5057163691749,335.74221316938,2.828892830091092
gl6,payment-service,0.008226008268233047,0.09069734432844793,0.05793317748608801,37.997007337952915,37.826554992346,0.4485941329296839
gl6,order-service,0.012367996795236706,0.11121149578724632,0.08077011652042956,48.37951530896297,49.44806489999489,2.2086818857276853
GreenLab-STF,,32.94289721310698,5.739590334954837,4.072400678646722,15597.750000000002,15625.682539113592,0.17908056683553641
gl5,,27.68514172739506,5.261667200364829,3.7686204307525597,21704.025,20493.75176946343,5.57626168665292
gl6,,17.2072011128553,4.148156351061915,3.2742711427445,22615.575,21416.75727350248,5.300850084499378
