Time (s),power_consumption
0,30.508136379104187
15,30.508136379104187
30,30.508136379104187
45,30.508136379104187
60,30.508136379104187
75,35.65732568832003
90,53.06917383506543
105,45.61214233641074
120,43.69627387674392
135,39.683705646905786
150,42.37951741065607
165,44.4507912628805
180,40.67321107942199
195,38.18652393267842
210,40.8079887602973
225,41.381875374565794
240,39.522569785356076
255,41.11602358197182
270,42.719513258766426
285,43.850975144520866
300,41.17443219956188
315,40.21160182151472
330,41.46624571071296
345,42.69483155673534
360,38.90503765345983
375,44.915829000245765
390,42.63879323361243
405,29.31725730797597
420,29.294755920974296
435,29.175161252938807
450,29.116095377128183
465,28.800184749245833
480,28.931454380928347
495,28.824266746332412
510,28.705008470762436
525,28.70247885842175
540,28.917253933357973
555,28.730410219579255
570,28.966216655854844
585,28.7
600,28.7
