Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:43:03   2.3   0.0   8.0  89.5   0.2    2  34617  11614   48   14  331  11.82 
13:43:18   2.2   0.0   8.9  88.7   0.1    2  26300   9820   52   11  130  12.01 
13:43:33   2.1   0.0   8.5  89.2   0.1    1  61596  17114   52   14   51  12.42 
13:43:48   2.0   0.0   7.1  90.7   0.1    2  18643   6932   58   13   56  10.95 
13:44:03   1.9   0.0   7.2  90.7   0.1    2   8744   4061   51   12   48  11.09 
13:44:18  27.2   0.0  15.0  56.8   1.0   11  62462  29386   90   11   55  31.72 
13:44:33  57.2   0.0  29.9  11.8   1.1   44  90870  45811  252   12   55  48.13 
13:44:48  33.9   0.0  24.6  38.5   3.0    1  87571  42863  190   11   49  38.90 
13:45:03  28.3   0.0  20.6  47.0   4.1    5 101632  45451   42   13   42  36.89 
13:45:18  30.0   0.0  24.4  42.2   3.4    8  96940  45556   54   12   54  38.68 
13:45:33  38.9   0.0  27.6  29.4   4.1    5  98073  47294   46   13   50  43.09 
13:45:48  52.6   0.0  33.5  11.8   2.1   35  80917  45320   70   11   49  48.76 
13:46:03  33.4   0.0  31.4  31.7   3.6    3  98510  47574   43   12   42  42.25 
13:46:18  23.1   0.0  25.7  48.4   2.8   11  97467  45233   53   12   52  35.60 
13:46:33  34.1   0.0  28.2  35.6   2.1   11 107677  46001   41   11   42  40.92 
13:46:48  45.3   0.0  28.7  24.4   1.6    2  96113  44893   48   12   49  44.77 
13:47:03  51.2   0.0  33.0  14.7   1.1   22  76133  43171   43   13   42  48.03 
13:47:18  46.2   0.0  37.6  15.0   1.3    8  83474  45551   79   11   47  47.94 
13:47:33  32.3   0.0  29.3  32.2   6.3    6 103712  47490   48   13   44  41.91 
13:47:48  36.4   0.0  29.5  32.5   1.6   26  92627  44420   52   11   54  42.54 
13:48:03  34.8   0.0  27.3  35.2   2.7   14 102396  47601   52   14   51  42.13 
13:48:18  30.6   0.0  27.5  40.6   1.3   12 102969  45278   47   12   51  40.59 
13:48:33  29.6   0.0  27.0  42.0   1.4    3 116087  47138   46   13   44  39.58 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:48:48  28.4   0.0  24.9  45.1   1.6   12 108816  45962   50   12   51  39.24 
13:49:03  30.5   0.0  25.4  41.8   2.3   10 112223  47393   45   12   41  39.73 
13:49:18  28.8   0.0  24.0  44.3   3.0   21 105713  46559   50   11   54  38.05 
13:49:33  32.1   0.0  20.6  44.0   3.3   10 102221  45359   56   12   53  38.34 
13:49:48  30.3   0.0  13.6  53.0   3.0    8 103822  44965   50   11   52  34.52 
13:50:03  25.3   0.0  10.6  59.0   5.0    2  87882  39278   51   17   46  28.95 
13:50:18   2.6   0.0   1.5  90.0   6.0    2  14366   6488   57   14   61   6.47 
13:50:33   2.4   0.0   2.4  94.7   0.4    1  10924   4967   46   12   43   6.30 
13:50:48   2.6   0.0   1.5  95.8   0.1    2  10839   4984   53   11   56   4.88 
13:51:03   2.4   0.0   1.4  95.8   0.4    2  10855   4952   51   12  252   4.75 
13:51:18   2.8   0.0   1.4  95.7   0.1    1  10923   5000   65   13  297   5.22 
13:51:33   2.4   0.0   2.7  94.8   0.1    1  10918   4979   53   12   53   6.47 
13:51:48   2.0   0.0   1.2  96.6   0.2    1   9503   4364   62   11   64   4.42 
13:52:03   2.1   0.0   1.1  96.2   0.6    2   8112   3844   46   12   47   4.27 
13:52:18   1.8   0.0   1.0  97.0   0.2    2   8788   3897   52   11   58   3.96 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average  23.0   0.0  17.7  57.4   1.9  8.2 67406.1 30751.6 61.7 12.2 71.5  28.32 
 GeoMean  12.5   0.0  11.0  48.8   1.0  4.5 47388.4 21253.7 56.2 12.2 58.8  20.94 
  StdDev  17.3   0.0  11.8  29.4   1.7  9.7 40218.4 18774.2 39.4  1.2 67.0  16.49 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   1.8   0.0   1.0  11.8   0.1  1.0 8111.6 3844.1 41.0 11.0 41.0   3.96 
 Maximum  57.2   0.0  37.6  97.0   6.3 44.0 116086.8 47600.6 252.0 17.0 331.0  48.76 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  28.32 Watts on average with standard deviation 16.49 
Note: power read from RAPL domains: dram, package-0, core.
These readings do not cover all the hardware in this device.
