Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:43:03   0.5   0.0   0.5  99.0   0.0   11   4268   2866  149   38  150  30.28 
12:43:18   0.7   0.0   0.6  98.7   0.0    4   4370   2995  126   31  140  30.89 
12:43:33   0.8   0.0   0.6  98.7   0.0    2   4468   3154  184   44  183  30.87 
12:43:48   0.6   0.0   0.6  98.8   0.0    2   4160   2857  151   40  148  29.80 
12:44:03   0.9   0.0   0.6  98.5   0.0    2   4439   3151  171   40  166  30.12 
12:44:18   4.4   0.0   1.6  93.9   0.0    3  24260  19080  161   41  158  43.22 
12:44:33   6.7   0.0   1.5  91.8   0.0    5  21963  18728  176   40  179  47.43 
12:44:48   4.8   0.0   1.3  93.9   0.0    4  18021  15350  163   39  163  43.30 
12:45:03   3.9   0.0   1.2  94.9   0.0    1  16030  12617  176   43  178  41.99 
12:45:18   4.6   0.0   1.4  93.9   0.0    5  20303  16571  164   40  161  44.03 
12:45:33   6.0   0.0   1.9  92.1   0.0    2  34161  30835  174   41  179  53.86 
12:45:48   5.5   0.0   1.9  92.5   0.0    5  30311  28851  161   40  155  52.77 
12:46:03   3.6   0.0   1.6  94.8   0.0    7  27332  27380  172   39  170  52.48 
12:46:18   4.4   0.0   1.9  93.7   0.0    2  27399  26630  154   42  155  51.75 
12:46:33   3.6   0.0   1.5  94.9   0.0    1  20631  18152  167   40  167  42.25 
12:46:48   4.5   0.0   1.5  94.0   0.0    6  19879  17445  156   40  158  43.00 
12:47:03   4.6   0.0   1.9  93.5   0.0    2  28692  27281  167   40  164  48.99 
12:47:18   4.4   0.0   2.0  93.7   0.0    1  31234  30268  153   40  154  54.04 
12:47:33   4.5   0.0   2.0  93.5   0.0    4  30731  28622  177   42  169  47.30 
12:47:48   5.1   0.0   2.1  92.8   0.0    2  32205  29945  150   39  149  50.24 
12:48:03   4.9   0.0   2.0  93.1   0.0    2  32320  31546  167   39  170  55.31 
12:48:18   4.1   0.0   2.0  93.9   0.0    4  30477  30091  147   40  148  55.20 
12:48:33   3.9   0.0   1.5  94.6   0.0    2  22062  24182  174   41  175  54.34 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:48:48   3.1   0.0   1.5  95.4   0.0    1  20232  22864  149   40  153  46.70 
12:49:03   2.6   0.0   1.3  96.1   0.0    1  13452  15561  170   39  171  42.66 
12:49:18   2.1   0.0   1.2  96.8   0.0    2  12654  13599  144   39  143  41.70 
12:49:33   3.9   0.0   2.1  94.0   0.0    3  26448  25538  179   43  181  44.72 
12:49:48   4.7   0.0   2.3  93.0   0.0    2  29753  27555  150   40  151  47.31 
12:50:03   3.1   0.0   1.7  95.2   0.0    2  19426  15692  125   29  122  43.50 
12:50:18   0.8   0.0   1.1  98.1   0.0    2   5712   4090  168   43  170  35.23 
12:50:33   1.1   0.0   1.0  97.9   0.0    2   4473   3361  152   40  151  33.14 
12:50:48   0.8   0.0   0.9  98.2   0.0    1   4525   3231  175   41  173  32.81 
12:51:03   0.8   0.0   1.0  98.3   0.0    1   4238   3187  150   37  156  32.12 
12:51:18   0.6   0.0   1.0  98.3   0.0    1   4663   3422  178   42  176  33.97 
12:51:33   0.8   0.0   0.9  98.3   0.0    1   4315   3110  156   41  157  33.10 
12:51:48   0.9   0.0   0.9  98.2   0.0    1   4455   3004  172   40  174  33.28 
12:52:03   0.8   0.0   0.9  98.3   0.0    1   4147   2880  147   38  144  33.13 
12:52:18   0.9   0.0   1.0  98.1   0.0    2   4581   3127  165   40  169  34.04 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average   3.0   0.0   1.4  95.6   0.0  2.7 17178.6 15758.4 161.1 39.8 161.3  42.13 
 GeoMean   2.2   0.0   1.3  95.6   0.0  2.2 12829.6 10824.6 160.4 39.7 160.7  41.27 
  StdDev   1.9   0.0   0.5   2.3   0.0  2.1 10872.3 10803.5 13.8  2.7 13.3   8.42 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   0.5   0.0   0.5  91.8   0.0  1.0 4147.1 2857.1 125.0 29.0 122.0  29.80 
 Maximum   6.7   0.0   2.3  99.0   0.0 11.0 34160.6 31546.0 184.0 44.0 183.0  55.31 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  42.13 Watts on average with standard deviation 8.42  
Note: power read from RAPL domains: dram, package-0, dram, package-1.
These readings do not cover all the hardware in this device.
