Running for 570.0 seconds (38 samples at 15.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:24:51   1.9   0.0   2.2  95.6   0.3    3   8299   3849   52   12   56   5.74 
13:25:06   1.8   0.0   2.2  95.9   0.2    1   7829   3640   45   11   51   5.59 
13:25:21   1.9   0.0   2.3  95.7   0.1    2   8245   3812   54   13   50   5.85 
13:25:36   1.8   0.0   2.4  95.6   0.1    1   7943   3701   51   11   53   5.83 
13:25:51   1.9   0.0   2.2  95.8   0.1    3   8148   3780   51   13   53   5.66 
13:26:06  46.1   0.0  13.5  39.2   1.2    8  91729  39027   83   12   48  39.02 
13:26:21  74.0   0.0  19.7   6.0   0.3    8  76636  41613  293   12   53  49.44 
13:26:36  37.1   0.0  13.8  40.6   8.6    2  88737  41387   50   12   46  37.49 
13:26:51  40.8   0.0  16.5  39.5   3.2   11  98982  45488   51   11   53  39.38 
13:27:06  29.7   0.0  15.1  49.2   6.0    3 102120  44757   42   12   41  35.78 
13:27:21  37.2   0.0  17.0  42.9   2.9    3 104420  46116   51   12   54  39.45 
13:27:36  61.2   0.0  25.1  12.1   1.6   77  79738  43366   74   12   42  49.06 
13:27:51  42.5   0.0  28.8  24.1   4.5   25  94420  45773   64   13   47  44.98 
13:28:06  34.4   0.0  23.9  38.3   3.4    2  97657  43466   50   14   50  40.46 
13:28:21  32.3   0.0  22.0  42.7   3.0    9  97141  43248   46   11   49  39.18 
13:28:36  37.6   0.0  24.6  35.2   2.6   12 100182  45470   46   13   47  42.09 
13:28:51  42.6   0.0  24.9  30.9   1.6    6 100103  46557   48   12   51  44.21 
13:29:06  40.9   0.0  22.0  34.0   3.0    6  97598  44394   39   13   36  42.64 
13:29:21  39.4   0.0  22.8  35.7   2.2    4  96732  43936   45   11   43  42.26 
13:29:36  57.4   0.0  28.6  12.6   1.4   72  72108  38263  198   11   44  48.28 
13:29:51  43.9   0.0  27.1  25.0   4.0    3  83024  42511   59   12   52  44.41 
13:30:06  33.5   0.0  23.2  41.2   2.1    9  95539  43050   45   12   46  38.74 
13:30:21  31.6   0.0  23.4  42.8   2.2    3  94405  43146   59   15   55  37.68 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
13:30:36  33.2   0.0  23.5  40.2   3.0   11 105749  45717   54   16   53  38.02 
13:30:51  34.0   0.0  25.1  39.0   1.9    7  95638  45111   55   13   55  38.87 
13:31:06  32.1   0.0  25.2  40.3   2.4    5  93235  43547   41   11   46  38.05 
13:31:21  30.3   0.0  21.9  44.4   3.4    1  99725  45044   54   12   49  36.97 
13:31:36  16.4   0.0  16.1  62.1   5.4    1  86984  30511   43   11   46  26.60 
13:31:51   3.0   0.0   6.9  86.6   3.6    2  29523  10472   54   13   51  11.76 
13:32:06   2.1   0.0   7.4  90.0   0.5    2  33755  11713   40   11   44  11.24 
13:32:21   2.3   0.0   7.9  89.6   0.2    1  11416   5197   52   12   50  11.62 
13:32:36   2.1   0.0   8.5  89.3   0.1    2  42427  12571   42   11  381  12.27 
13:32:51   2.4   0.0   4.3  93.2   0.2    2  11719   5241   53   12  195   8.02 
13:33:06   2.2   0.0   2.8  94.9   0.1    1  12273   5243   50   13   53   6.73 
13:33:21   2.1   0.0   1.8  96.0   0.1    3   9870   4366   57   14   56   5.15 
13:33:36   1.9   0.0   1.9  95.9   0.2    3   9369   4135   45   11   46   5.39 
13:33:51   2.1   0.0   2.4  95.2   0.3    2   9679   4257   71   30   64   6.39 
13:34:06   2.1   0.0   1.7  96.1   0.1    1   8870   3891   42   11   44   4.84 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Average  24.7   0.0  14.8  58.5   2.0  8.3 62420.1 28351.7 61.8 12.7 61.9  27.50 
 GeoMean  12.1   0.0  10.1  49.1   0.9  3.8 41724.5 18611.2 55.2 12.4 53.7  20.25 
  StdDev  20.4   0.0   9.6  30.0   1.9 16.3 39735.6 18558.2 45.6  3.1 57.6  16.70 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
 Minimum   1.8   0.0   1.7   6.0   0.1  1.0 7828.9 3640.2 39.0 11.0 36.0   4.84 
 Maximum  74.0   0.0  28.8  96.1   8.6 77.0 105748.9 46556.5 293.0 30.0 381.0  49.44 
-------- ----- ----- ----- ----- ----- ---- ------ ------ ---- ---- ---- ------ 
Summary:
CPU:  27.50 Watts on average with standard deviation 16.70 
Note: power read from RAPL domains: dram, package-0, core.
These readings do not cover all the hardware in this device.
