Linux 5.15.0-122-generic (GreenLab-STF) 	02-01-25 	_x86_64_	(8 CPU)

13:24:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:24:51        all      1.86      0.00      2.31      0.31      0.00     95.52
13:25:06        all      1.75      0.00      2.28      0.14      0.00     95.82
13:25:21        all      1.95      0.00      2.36      0.12      0.00     95.57
13:25:36        all      1.83      0.00      2.52      0.10      0.00     95.56
13:25:51        all      1.88      0.00      2.27      0.12      0.00     95.73
13:26:06        all     40.55      0.00     24.19      1.06      0.00     34.20
13:26:21        all     57.87      0.00     37.13      0.28      0.00      4.72
13:26:36        all     31.39      0.00     27.08      7.24      0.00     34.30
13:26:51        all     32.74      0.00     33.00      2.61      0.00     31.65
13:27:06        all     23.90      0.00     31.54      4.83      0.00     39.73
13:27:21        all     28.33      0.00     36.81      2.23      0.00     32.63
13:27:36        all     44.71      0.00     45.38      1.15      0.00      8.76
13:27:51        all     32.50      0.00     45.58      3.47      0.00     18.44
13:28:06        all     26.39      0.00     41.46      2.57      0.00     29.59
13:28:21        all     25.09      0.00     39.45      2.33      0.00     33.14
13:28:36        all     28.61      0.00     42.74      1.91      0.00     26.74
13:28:51        all     31.40      0.00     44.63      1.22      0.00     22.75
13:29:06        all     30.68      0.00     41.61      2.25      0.00     25.45
13:29:21        all     29.30      0.00     42.53      1.60      0.00     26.57
13:29:36        all     41.65      0.00     48.37      0.98      0.00      9.00
13:29:51        all     35.09      0.00     41.52      3.23      0.00     20.16
13:30:06        all     25.94      0.00     40.55      1.59      0.00     31.93
13:30:21        all     25.34      0.00     38.60      1.78      0.00     34.28
13:30:36        all     27.83      0.00     35.98      2.54      0.00     33.65
13:30:51        all     27.42      0.00     39.55      1.56      0.00     31.47
13:31:06        all     26.03      0.00     39.26      1.94      0.00     32.77
13:31:21        all     25.05      0.00     35.39      2.82      0.00     36.74
13:31:36        all     15.23      0.00     21.75      5.01      0.00     58.01
13:31:51        all      2.90      0.00      8.23      3.50      0.00     85.37
13:32:06        all      2.04      0.00      8.49      0.52      0.00     88.94
13:32:21        all      2.27      0.00      9.11      0.25      0.00     88.36
13:32:36        all      2.11      0.00      9.67      0.09      0.00     88.13
13:32:51        all      2.35      0.00      4.87      0.17      0.00     92.62
13:33:06        all      2.17      0.00      3.15      0.13      0.00     94.55
13:33:21        all      2.08      0.00      1.87      0.13      0.00     95.92
13:33:36        all      1.94      0.00      2.03      0.19      0.00     95.85
13:33:51        all      2.05      0.00      2.75      0.32      0.00     94.87
13:34:06        all      2.07      0.00      1.80      0.10      0.00     96.03
Average:        all     19.54      0.00     24.60      1.63      0.00     54.22
