Linux 5.15.0-122-generic (gl6) 	01/02/2025 	_x86_64_	(32 CPU)

12:24:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:24:51 PM     all      1.07      0.00      0.49      0.00      0.00     98.44
12:25:06 PM     all      1.17      0.00      0.50      0.00      0.00     98.33
12:25:21 PM     all      1.14      0.00      0.55      0.00      0.00     98.32
12:25:36 PM     all      1.10      0.00      0.53      0.00      0.00     98.38
12:25:51 PM     all      1.17      0.00      0.54      0.00      0.00     98.29
12:26:06 PM     all      3.75      0.00      2.04      0.00      0.00     94.21
12:26:21 PM     all      4.24      0.00      2.63      0.00      0.00     93.13
12:26:36 PM     all      2.88      0.00      1.66      0.00      0.00     95.46
12:26:51 PM     all      4.53      0.00      1.79      0.00      0.00     93.69
12:27:06 PM     all      6.25      0.00      2.83      0.00      0.00     90.91
12:27:21 PM     all      5.37      0.00      2.85      0.00      0.00     91.77
12:27:36 PM     all      3.81      0.00      2.42      0.00      0.00     93.77
12:27:51 PM     all      3.04      0.00      2.19      0.00      0.00     94.77
12:28:06 PM     all      3.04      0.00      1.81      0.00      0.00     95.15
12:28:21 PM     all      3.01      0.00      1.82      0.00      0.00     95.17
12:28:36 PM     all      3.28      0.00      1.56      0.00      0.00     95.16
12:28:51 PM     all      4.03      0.00      1.67      0.00      0.00     94.30
12:29:06 PM     all      3.73      0.00      1.60      0.00      0.00     94.66
12:29:21 PM     all      4.61      0.00      1.58      0.00      0.00     93.81
12:29:36 PM     all      2.79      0.00      1.43      0.00      0.00     95.78
12:29:51 PM     all      2.34      0.00      1.28      0.00      0.00     96.38
12:30:06 PM     all      3.10      0.00      1.99      0.00      0.00     94.92
12:30:21 PM     all      3.27      0.00      1.94      0.00      0.00     94.79
12:30:36 PM     all      2.59      0.00      0.66      0.00      0.00     96.76
12:30:51 PM     all      2.05      0.00      0.93      0.00      0.00     97.02
12:31:06 PM     all      3.15      0.00      1.71      0.00      0.00     95.14
12:31:21 PM     all      3.34      0.00      2.05      0.00      0.00     94.61
12:31:36 PM     all      2.00      0.00      1.02      0.00      0.00     96.98
12:31:51 PM     all      1.26      0.00      0.55      0.00      0.00     98.20
12:32:06 PM     all      1.09      0.00      0.53      0.00      0.00     98.38
12:32:21 PM     all      1.08      0.00      0.63      0.00      0.00     98.29
12:32:36 PM     all      1.07      0.00      0.52      0.00      0.00     98.41
12:32:51 PM     all      1.10      0.00      0.78      0.00      0.00     98.13
12:33:06 PM     all      1.09      0.00      0.88      0.00      0.00     98.04
12:33:21 PM     all      1.12      0.00      0.96      0.00      0.00     97.92
12:33:36 PM     all      1.07      0.00      0.84      0.00      0.00     98.09
12:33:51 PM     all      1.28      0.00      0.91      0.00      0.00     97.81
12:34:06 PM     all      1.22      0.00      0.84      0.00      0.00     97.95
Average:        all      2.56      0.00      1.35      0.00      0.00     96.09
