Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.09423144560346344
105,0.10959297543550024
120,0.12557267249267076
135,0.15651237155739572
150,0.07780964736973733
165,0.32771095297559466
180,0.1715329390780188
195,0.12353451368251087
210,0.09371595601312147
225,0.18488646575636072
240,0.1727532510605542
255,0.14140079302019587
270,0.24060271566812982
285,0.12643493939409695
300,0.1097257742166615
315,0.1392231317503984
330,0.10879817894379898
345,0.2032987393557163
360,0.15619496440254663
375,0.12518044007405338
390,0.06432528207299557
405,0.03268403066238571
420,0.20196909471703867
435,0.031063216358262178
450,0.045833726339468674
465,0.0480853110830078
480,0.06244585395424642
495,0.030840236143755684
510,0.03202517070557774
525,0.04429032696904027
540,0.04694935332085168
555,0.030764400626753185
570,0.016560458548958663
585,0.0161158262446661
600,0.0
