Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.09833033627512235
105,0.1026227263881263
120,0.05704952445661075
135,0.08532781403691615
150,0.08509736427082136
165,0.05599416146049128
180,0.02978489248736569
195,0.05344606583976742
210,0.03791184659609357
225,0.05770365923467063
240,0.08471980446093937
255,0.028506306962575872
270,0.0724297884973259
285,0.03861895356168419
300,0.09408058178915574
315,0.06411482744214347
330,0.09665208027479508
345,0.05478670842057813
360,0.07536613677496479
375,0.06771709975245792
390,0.03608315192404287
405,0.04653371920984064
420,0.027892783447850178
435,0.03713956048666711
450,0.009442638764635311
465,0.01006856997119011
480,0.017825140462033064
495,0.008431133830993713
510,0.009521456391019274
525,0.0
540,0.03694874829639943
555,0.0
570,0.008353260862456144
585,0.0
600,0.0
