Server,Container,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
gl2,home-timeline-redis,0.0029611490748765856,0.05441644121840922,0.04288178913154488
gl2,nginx,182.73810144208917,13.51806574337058,10.114172751474925
gl2,post-storage-memcached,0.02611710246602932,0.1616078663494736,0.10470044828155345
gl2,url-shorten-mongodb,0.0005579656805426514,0.02362129718162513,0.015899403881512175
gl2,user-mongodb,46.669266795671156,6.8314908179453155,4.457680565518621
gl2,user-service,0.4256649131208674,0.6524300063001911,0.4332639864571337
gl2,user-timeline-redis,0.02645762342600737,0.1626579952723117,0.13032971551802297
gl2,user-timeline-service,0.7009725442970393,0.8372410311833978,0.6219912527252314
gl5,cassandra,5.423546571911796,2.328850912341062,1.7923735354307784
gl5,compose-post-service,0.004112908981044798,0.06413196536084637,0.04289274717331709
gl5,home-timeline-service,0.002283271982827476,0.04778359533173991,0.031207495820075197
gl5,jaeger-agent,0.001681744210960392,0.04100907473914026,0.024137507203930902
gl5,media-memcached,1.6348853008926857e-06,0.0012786263335676634,0.0006825385148373941
gl5,media-mongodb,106.19827085208435,10.305254526312504,3.885479862191377
gl5,post-storage-mongodb,0.0006259462262527956,0.025018917367719884,0.021140010187643898
gl5,post-storage-service,0.1316610617616173,0.36285129428130375,0.2559239478743245
gl5,social-graph-service,0.0009564206318047675,0.03092605102182895,0.023831668314697685
gl5,url-shorten-service,3.126591144725013e-05,0.005591592925745769,0.004084214556668633
gl6,jaeger-collector,16.38398075137198,4.047713027299734,3.1731850166049242
gl6,jaeger-query,3.4665285930851412e-06,0.0018618615934287762,0.0012721778105190382
gl6,media-service,0.00026633531159953933,0.016319782829423292,0.012579882645511353
gl6,social-graph-mongodb,0.002770373122517677,0.05263433406549072,0.04190534356862744
gl6,social-graph-redis,0.000486050999306968,0.022046564342476767,0.02027508017944926
gl6,text-service,0.02037749315672267,0.14274975711616,0.11089948017662833
gl6,unique-id-service,0.00026956199376734107,0.016418343210182356,0.012321091678401293
gl6,user-mention-service,0.00736029448876467,0.0857921586671222,0.06672343742057434
gl6,user-timeline-mongodb,0.033341685846663145,0.18259705870211368,0.14771663548406896
gl2,,353.01701816424304,18.78874711534122,6.541147400855756
gl5,,793.1649777032179,28.163184793329357,11.743004218348336
gl6,,18.298649866331225,4.2776921191608945,3.5219560675212898
ctmc_refined_gl2,,377.6396292620167,19.432952149944093,6.840407517896779
ctmc_refined_gl5,,784.4917384338708,28.008779666987827,11.390466686871214
ctmc_refined_gl6,,19.901615313298382,4.461122651676188,3.6930386242828837
