Server,Container,Mean Squared Error,Root Mean Squared Error,Mean Absolute Error
gl2,account-service,4.128124454533343,2.03177864309411,1.163442719355392
gl2,billing-service,0.09934411125803178,0.315189008783669,0.19287244574254056
gl2,catalog-service,16.219753169851163,4.027375469192209,3.255381754228545
gl2,payment-service,1.3687051913738406,1.1699167454882593,0.6045379728049628
gl2,order-service,0.10555452358149604,0.32489155664851627,0.22617342273245614
gl2,gateway-server_replica_1,10.318371336980483,3.2122221805131232,2.2294124028873634
gl2,gateway-server_replica_2,8.014485318926823,2.8309866334772447,2.050347676694549
gl2,gateway-server_replica_3,8.818884116129405,2.9696606062190685,2.0939689667666874
gl2,mysqld,2.451403371280218,1.5656958105839773,1.1300417577470683
gl5,account-service,0.5371006135319337,0.7328714850039765,0.44411579579347354
gl5,billing-service,0.023423546833762326,0.15304753128934268,0.0949271325850226
gl5,catalog-service,1.679555739198137,1.2959767510253173,0.931973812048576
gl5,payment-service,0.049663363030588416,0.22285278331353284,0.0954803449050999
gl5,order-service,0.04492404864321407,0.21195293968995588,0.13459854124332535
gl6,account-service,0.387985856383643,0.6228851068886163,0.32447987585394855
gl6,billing-service,0.02647389357814274,0.1627080009653574,0.08813635590884883
gl6,catalog-service,1.1265561485244826,1.061393493726282,0.7789736238555799
gl6,payment-service,0.04896751097852664,0.2212860388242481,0.11895005069993218
gl6,order-service,0.06938984560708426,0.26341952396715823,0.1399063847343014
gl2,,639.232341507253,25.28304454584639,20.1207409810463
gl5,,14.24109527992042,3.773737574331371,3.152545585294732
gl6,,13.925226766564412,3.7316520157383932,3.2557834314850522
ctmc_refined_gl2,,153.60895790649695,12.393908096581036,8.314534250568562
ctmc_refined_gl5,,2.6667222956654797,1.6330101945993722,1.314794484204496
ctmc_refined_gl6,,4.174826731438219,2.0432392741522514,1.5768263079466118
