server,container,MSE,RMSE,MAE,Energy_Consumption_Actual (Joules),Energy_Consumption_Estimated (Joules),Error_Percentage (%)
gl2,home-timeline-redis,0.00019439396140512406,0.01394252349487438,0.01097365598286773,13.206347590791255,14.184972409804745,7.410260954329885
gl2,nginx,2.7766944145298034,1.6663416259968433,0.8701818822544489,2352.1992891773557,2361.9341638175983,0.4138626639772206
gl2,jaeger-agent,0.018152172083391423,0.1347299969694627,0.08827103517970857,154.3352883848529,144.23349734302218,6.545354045434339
gl2,post-storage-service,0.0003528361748784128,0.01878393395640042,0.012414359886941628,10.897363835394165,13.209719976978707,21.21940844146279
gl5,url-shorten-mongodb,2.6700710250031164e-05,0.005167272999371251,0.004282837520825136,4.1996192378680846,4.64572533258084,10.622536697855942
gl5,user-mongodb,14.439475513625155,3.7999309880082235,2.3570850843208984,4656.312630938132,4866.844258455764,4.5214238004292895
gl5,user-timeline-redis,2.848593129476847e-05,0.005337221308393392,0.004416019576733374,5.094402525896501,5.1944955248465625,1.9647642376364298
gl5,cassandra,0.0005666480555047161,0.023804370512675106,0.018939011814176003,27.255348153329717,27.031005768335834,0.8231132610444194
gl5,home-timeline-service,0.0004907191848110322,0.022152182393864316,0.015355933810507904,20.759034945620364,20.740991279140324,0.08691958237608918
gl5,media-memcached,1.2057888506609815e-06,0.0010980841728487763,0.0006249267748090589,0.16041515399195175,0.1425230501184405,11.153624472666047
gl5,media-mongodb,3.948097163488042e-05,0.00628338854718379,0.005380204026620426,4.206943258785244,5.34152117661943,26.96917567083603
gl5,social-graph-service,3.5098965813136203,1.8734717989106802,1.1365464834851393,2058.492088823394,2020.3482399628085,1.852999536295918
gl5,social-graph-mongodb,4.382446791479431,2.0934294331262833,1.119177304681158,2044.3793881448012,2270.3953377639045,11.055479767099612
gl6,user-service,0.16950830957057908,0.4117138685672115,0.25747853890915084,497.02254512978254,445.6909270159593,10.327824887786436
gl6,post-storage-mongodb,5.2238068767339015e-05,0.007227590799660632,0.005306181762677621,3.68353086694496,4.243219937653242,15.194363531219052
gl6,user-memcached,0.023774296472320537,0.15418915808940828,0.12442905203988813,129.38175773643073,124.78634100795338,3.5518274050959113
gl6,social-graph-redis,0.004730636032973756,0.06877961931396362,0.04244756600433413,87.11897299760844,89.93830768093075,3.2361890714663333
gl6,user-timeline-mongodb,4.150364265409372e-05,0.006442332081947787,0.00543592132812843,3.757373809558844,3.81890110313716,1.637507916348099
GreenLab-STF,,58.57168811396201,7.653214234160835,5.850241338555043,8907.074999999999,9121.17943336633,2.4037569389090176
gl5,,136.409875761134,11.679463847331949,8.056908357004241,33765.975000000006,34160.26833359481,1.1677238213758188
gl6,,10.74306147961965,3.277660976919311,2.386609578638611,21197.925,21002.539640246643,0.9217192708878638
