Time (s),power_consumption
0,36.73190216606047
15,36.81524931184834
30,41.473239330322805
45,43.69132006285176
60,41.47748396816777
75,43.0040377466154
90,47.06352019764168
105,46.43720109252032
120,45.664658695201425
135,46.29860842500037
150,48.18601271206379
165,48.0281328960996
180,47.63447224717082
195,47.331463830554775
210,46.70619227230352
225,44.110115500799566
240,45.294949112190196
255,46.85761172280776
270,45.384586534992216
285,46.02958383762992
300,49.17638039907098
315,47.790841960035394
330,44.2629082944559
345,46.89488212149745
360,35.95107590908826
375,36.508419707605725
390,36.47408102293221
405,36.33833827581205
420,35.00697755905512
435,34.612053733642526
450,34.63768621321276
465,34.675388613677086
480,34.71268952787026
495,34.5463908640162
