Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.17315655592250193
105,0.12560684223370175
120,0.19725331227582207
135,0.22407382862354655
150,0.19659374731965515
165,0.1568949702749488
180,0.20252740197054975
195,0.15718870895716408
210,0.16611095795080125
225,0.15121402720398514
240,0.24864262753728697
255,0.17273449190228293
270,0.20119335245445472
285,0.19396048721692624
300,0.18279798740573452
315,0.18040785573013582
330,0.17975612876277733
345,0.17986325296418856
360,0.16296579443781875
375,0.11203030851754624
390,0.11782742010876783
405,0.05160128707530761
420,0.05711435752133174
435,0.049929784024846775
450,0.021513910251025878
465,0.020813188048995013
480,0.02397161593404562
495,0.0
