Time (s),CPU Utilization (%),refined_cpu
0,0.02201815183487,0.62201815183487
15,0.0333926173805018,0.6333926173805018
30,0.00625,0.0
45,0.0173829252384556,0.0
60,0.0322054507319775,0.0
75,0.0244971806130275,0.0
90,4.525024886617706,4.376184996139177
105,3.8422916572064953,3.699864799813631
120,3.905766773352432,3.3279564073511203
135,4.698579196368056,4.074089270937171
150,3.9011649309648577,3.2310856443270652
165,4.2390367018610045,4.000770528001368
180,4.365090004591456,3.978764876394417
195,3.702826648693359,3.5469673856157895
210,5.142510675343606,4.992514347558683
225,3.5823752971687384,3.4676474891006923
240,4.080887819640131,3.939246499346739
255,3.1020082879284696,2.9584954508225394
270,3.3404115470586317,2.7863589423268755
285,4.294505884013314,4.089413162321551
300,4.968965042706317,4.683908155457052
315,4.0526306402293955,3.8165272904556544
330,4.7210331230644424,4.49425926374492
345,4.362060819864854,4.199630705602026
360,3.611753263279666,3.611753263279666
375,3.7972152735099463,3.7972152735099463
390,2.816049459458658,2.816049459458658
405,1.604590139527635,1.604590139527635
420,0.7676873089243395,0.7676873089243395
435,0.3421203630808269,0.3421203630808269
450,0.1895802146814144,0.1895802146814144
465,0.0542891774497525,0.0542891774497525
480,0.0506058459739842,0.0506058459739842
495,0.0,0.0
