Time (s),CPU Utilization (%)
0,0.011601485168203484
15,0.008392617380501819
30,0.0
45,0.009049591905122318
60,0.01137211739864424
75,0.009913847279694214
90,0.015244158990608181
105,0.015374433733678286
120,0.013482135116196895
135,0.027218368502185935
150,0.01825275001038118
165,0.01744046924000856
180,0.014691517554016105
195,0.022726453496760893
210,0.011367422722664096
225,0.007953071669192294
240,0.0066633795401855765
255,0.03205132040997826
270,0.010137278299986082
285,0.009587515082458644
300,0.011977198836668847
315,0.018830840793437935
330,0.02408855409308706
345,0.021493204685498358
360,0.01074444620329218
375,0.017883412110751663
390,0.0033576639850761165
405,0.010831087108556122
420,0.009869291635304743
435,0.003350067941604249
450,0.003718653945355262
465,0.0
480,0.004095214226293087
495,0.0
