Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.17807929679512746
105,0.15724300396067797
120,0.14032288934387183
135,0.1248836973362941
150,0.14583113976829448
165,0.15437410896434028
180,0.12953355824367419
195,0.11338373766042238
210,0.12362232418886092
225,0.15278772096940096
240,0.14959050931309423
255,0.13952814980873934
270,0.13399107458438983
285,0.16765147019248655
300,0.1602321516258813
315,0.11089045224767399
330,0.1717205063939367
345,0.1442274146122137
360,0.10913841499645663
375,0.0461255368676893
390,0.01091841669034948
405,0.013103908993929133
420,0.01185930055673023
435,0.0
450,0.0023963287389799238
465,0.0039628970475849064
480,0.0
495,0.0
