Time (s),CPU Utilization (%),refined_cpu
0,0.0,12.5
15,0.0,12.5
30,0.0,12.5
45,0.0,12.5
60,0.0,12.5
75,0.0,12.5
90,14.964459870551606,27.806609428260117
105,13.506550870452095,29.4849609775718
120,15.813245020046956,30.71376420247314
135,15.23917303677792,38.17823161466809
150,14.02768976724379,47.7112360407164
165,13.447710809993616,46.337935632036675
180,16.28072085643531,47.99574178970137
195,14.635715967125666,46.94184644087372
210,15.360131607410558,45.804389215520246
225,13.1763964051025,36.765247926724435
240,14.354436078669456,29.69234812677687
255,14.344756301039755,46.33056166065095
270,15.376828317128252,45.59576957494322
285,16.465247587757695,55.00903583932069
300,15.561236831702717,41.82797118465586
315,15.875124233040816,31.861419324412886
330,15.907190607324138,30.521349987772112
345,15.430141466447472,46.86224487835177
360,13.441367637541504,35.32516377275648
375,16.48725042264434,39.941248622459426
390,12.906377439886745,44.897858636453286
405,14.237728797004316,41.62601782342293
420,2.8286491773587374,26.39932581636068
435,0.1756929040661033,33.31880134296625
450,0.047109438732829,33.37038263298185
465,0.0,20.98956614858867
480,0.0,0.0
495,0.0,0.0
