Time (s),CPU Utilization (%)
0,0.0
15,0.0
30,0.0
45,0.0
60,0.0
75,0.0
90,0.8643521524244336
105,0.9234357795081719
120,0.728445104462902
135,0.7510603737096913
150,0.7940266241447882
165,0.6457689891385873
180,0.954263169004064
195,0.5979593760905101
210,0.9074569782201771
225,0.9139116937360495
240,1.0310716791259034
255,0.67512326091261
270,0.7782884809870344
285,0.9576255322642427
300,0.766472685305424
315,0.9303916523514637
330,0.7518498772449722
345,0.9551927887887014
360,0.8036132912593837
375,0.9093324749554809
390,0.7215339713568145
405,0.7913263034161642
420,0.4331151654629687
435,0.14767645726931095
450,0.04710943873282902
465,0.0
480,0.0
495,0.0
