Time (s),power_consumption
0,8.7625
15,8.7625
30,8.7625
45,8.7625
60,8.7625
75,8.7625
90,16.186205572706157
105,17.000206074122325
120,17.596175638199473
135,21.216442333114024
150,25.839949479747453
165,25.173898781537787
180,25.977934768005163
195,25.466795523823752
210,24.915128769527318
225,20.531145244461353
240,17.100788841486782
255,25.17032240541571
270,24.81394824384746
285,29.37938238207053
300,22.98656602455809
315,18.15278837234025
330,17.502854744069474
345,25.428188766000606
360,19.832704429786894
375,22.07150558189282
390,24.475461438679844
405,22.88861864436012
420,15.50367302093493
435,18.859618651338632
450,18.884635576996196
465,12.879939582065504
480,2.7
495,2.7
