Time (s),CPU Utilization (%),power_consumption
0,0.0,0.0
15,0.0,0.0
30,0.0,0.0
45,0.0,0.0
60,0.0,0.0
75,0.0,0.0
90,13.90888272099652,7.1213479531502175
105,12.462267162878325,6.380680787393703
120,14.99753983882234,7.678740397477037
135,14.30685219980344,7.325108326299362
150,13.081917091040928,6.697941550612956
165,12.679211272963183,6.49175617175715
180,15.181208668642968,7.7727788383452
195,13.783635221792588,7.057221233557806
210,14.227745536121436,7.284605714494176
225,12.136537957363222,6.21390743416997
240,13.05041662111872,6.681813310012784
255,13.548101602489009,6.936628020474373
270,14.413392186315814,7.379656799393698
285,15.443423245675309,7.9070327017857585
300,14.613402845954218,7.48206225712856
315,14.739783115454792,7.546768955112853
330,15.046157218957552,7.703632496106266
345,14.273172485834078,7.307864312747047
360,12.519250026831854,6.40985601373791
375,15.450149180049708,7.91047638018545
390,11.966260718839958,6.126725488046059
405,13.36181438960048,6.841248967475446
420,2.352389606203351,1.2044234783761159
435,0.0,0.0
450,0.0,0.0
465,0.0,0.0
480,0.0,0.0
495,0.0,0.0
